Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Weekend_Usage_Hours,High_Usage
1,19,F,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,96.0,In Relationship,3,8,4.1,7.1,Average,6.5,True
2,22,M,Graduate,India,2.1,Twitter,No,7.5,69.0,Single,0,3,3.3,5.2,Average,4.699999999999999,False
3,20,F,Undergraduate,USA,6.0,TikTok,Yes,5.0,86.0,Complicated,4,9,4.3,8.3,Average,6.9,True
4,18,M,High School,UK,3.0,YouTube,No,7.0,74.0,Single,1,4,5.3,4.4,Good,7.1,False
5,21,M,Graduate,Canada,4.5,Facebook,Yes,6.0,58.0,In Relationship,2,7,3.2,8.2,Good,4.9,False
6,19,F,Undergraduate,Australia,7.2,Instagram,Yes,4.5,89.0,Complicated,5,9,3.2,6.7,Poor,3.8,True
7,23,M,Graduate,Germany,1.5,LinkedIn,No,8.0,47.0,Single,0,2,5.4,6.4,Average,6.6000000000000005,False
8,20,F,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,69.35590551181102,In Relationship,2,8,4.4,6.0,Good,7.2,True
9,18,M,High School,Japan,4.0,TikTok,No,6.5,88.0,Single,1,5,2.9,6.9,Poor,4.4,False
10,29,F,Graduate,South Korea,3.3,Instagram,No,7.0,79.0,In Relationship,1,4,4.2,6.5,Average,6.1,False
11,19,M,Undergraduate,France,4.8,Snapchat,Yes,6.2,46.0,Complicated,3,7,2.9,7.6,Average,4.7,False
12,20,F,Undergraduate,Spain,5.5,TikTok,Yes,5.8,69.0,In Relationship,2,8,2.9,6.6,Average,4.9,True
13,22,M,Graduate,Italy,2.8,LinkedIn,No,7.2,46.0,Single,1,4,3.8,6.7,Average,4.5,False
14,18,F,High School,Mexico,6.5,Instagram,Yes,5.5,42.0,Single,4,9,1.2,6.1,Average,2.6,True
15,21,M,Undergraduate,Russia,3.7,YouTube,No,6.8,40.0,In Relationship,2,5,,6.4,Excellent,3.7,False
16,20,F,Undergraduate,China,4.2,TikTok,Yes,6.0,75.0,Complicated,3,7,2.8,6.8,Good,3.8,False
17,24,M,Graduate,Sweden,2.0,LinkedIn,No,7.8,64.0,Single,0,3,2.3,4.8,Poor,3.3,False
18,19,F,High School,Norway,5.0,Instagram,Yes,5.7,76.0,In Relationship,3,8,3.9,5.2,Good,4.4,False
19,21,M,Undergraduate,Denmark,3.5,Facebook,No,6.7,40.0,Single,1,5,2.4,7.2,Good,4.0,False
20,20,F,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,54.0,Complicated,3,7,1.8,6.7,Good,4.5,False
21,18,M,High School,Belgium,5.3,TikTok,Yes,5.5,76.0,Single,4,8,5.3,6.3,Good,5.9,True
22,23,F,Graduate,Switzerland,2.5,LinkedIn,No,7.3,52.0,In Relationship,1,4,3.2,6.5,Average,4.2,False
23,19,M,Undergraduate,Austria,4.9,Instagram,Yes,5.8,69.35590551181102,Complicated,3,7,,6.8,Poor,4.9,False
24,20,F,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,47.0,Single,4,8,1.8,6.6,Good,4.1,True
25,22,M,Graduate,Greece,3.2,Facebook,No,6.9,44.0,In Relationship,2,5,2.8,5.7,Excellent,4.9,False
26,19,F,High School,Ireland,6.1,Instagram,Yes,5.2,99.0,Complicated,4,9,3.6,6.7,Excellent,5.1,True
